기상관측일시,일사량(w/m^2),습도(%),절대습도,기온(degC),대기압(hPa)
2024-01-04 16:00,158.001,37.185,0.003,5.198,1005.1541
2024-01-04 17:00,36.873,41.167,0.003,3.021,1005.31866
2024-01-04 18:00,0,42.094,0.003,1.163,1005.3654
2024-01-04 19:00,0,44.303,0.004,0.924,1005.19806
2024-01-04 20:00,0,44.694,0.003,0.826,1004.9863
2024-01-04 21:00,0,45.704,0.004,0.757,1004.8804
2024-01-04 22:00,0,46.132,0.004,1.023,1004.88
2024-01-04 23:00,0,47.608,0.004,0.856,1004.78503
2024-01-05 0:00,0,50.808,0.004,0.519,1004.7371
2024-01-05 1:00,0,53.681,0.004,0.633,1004.7341
2024-01-05 2:00,0,56.229,0.004,1.129,1004.5571
2024-01-05 3:00,0,57.5,0.004,1.508,1004.23517
2024-01-05 4:00,0,58.917,0.004,1.543,1004.02814
2024-01-05 5:00,0,59.758,0.004,1.453,1003.8988
2024-01-05 6:00,0,61.106,0.004,1.514,1003.959
2024-01-05 7:00,0,61.723,0.004,2.106,1004.351
2024-01-05 8:00,12.395,61.546,0.004,2.686,1004.57935
2024-01-05 9:00,76.015,61.717,0.004,3.286,1004.80334
2024-01-05 10:00,190.12,58.822,0.005,5.483,1004.76215
2024-01-05 11:00,243.987,57.963,0.005,6.899,1004.6668
2024-01-05 12:00,295.579,55.363,0.005,8.686,1004.3357
2024-01-05 13:00,307.523,45.689,0.005,9.185,1003.78046
2024-01-05 14:00,312.029,37.707,0.004,9.187,1003.53296
2024-01-05 15:00,244.58,34.817,0.004,8.738,1003.4381
2024-01-05 16:00,140.897,35.359,0.004,6.793,1003.76965
2024-01-05 17:00,34.97,39.318,0.004,4.533,1004.1354
2024-01-05 18:00,0,44.592,0.004,2.652,1004.4822
2024-01-05 19:00,0,47.606,0.004,2.105,1004.64496
2024-01-05 20:00,0,52.084,0.004,1.474,1004.8228
2024-01-05 21:00,0,51.842,0.004,0.947,1005.0456
2024-01-05 22:00,0,53.173,0.004,0.207,1005.3458
2024-01-05 23:00,0,51.302,0.003,-0.279,1005.58124
2024-01-06 0:00,0,51.733,0.003,-0.725,1005.68805
2024-01-06 1:00,0,54.093,0.004,-0.591,1004.70215
2024-01-06 2:00,0,53.659,0.003,-0.951,1004.7154
2024-01-06 3:00,0,52.967,0.003,-1.305,1004.589
2024-01-06 4:00,0,52.164,0.003,-1.5,1004.48566
2024-01-06 5:00,0,50.832,0.003,-1.691,1004.5375
2024-01-06 6:00,0,49.655,0.003,-1.868,1004.68896
2024-01-06 7:00,0,49.365,0.003,-1.353,1004.9939
2024-01-06 8:00,13.48,50.22,0.003,-0.732,1005.23486
2024-01-06 9:00,140.092,47.754,0.003,0.943,1005.4512
2024-01-06 10:00,300.898,43.708,0.003,3.328,1005.3198
2024-01-06 11:00,399.13,41.658,0.003,5.436,1004.96576
2024-01-06 12:00,434.913,37.679,0.003,7.117,1004.4693
2024-01-06 13:00,439.591,38.016,0.003,6.768,1003.8661
2024-01-06 14:00,388.365,38.011,0.003,6.336,1003.6018
2024-01-06 15:00,273.118,40.256,0.003,5.688,1003.41974
2024-01-06 16:00,152.92,41.475,0.003,4.063,1003.6303
2024-01-06 17:00,40.304,45.022,0.003,1.992,1003.74976
2024-01-06 18:00,0,47.998,0.003,0.218,1003.88885
2024-01-06 19:00,0,49.302,0.003,-0.224,1003.75446
2024-01-06 20:00,0,60.738,0.003,-0.089,1004.039
2024-01-06 21:00,0,58.941,0.003,-0.615,1004.0281
2024-01-06 22:00,0,55.395,0.003,-0.439,1004.3464
2024-01-06 23:00,0,56.43,0.003,-0.49,1004.7122
2024-01-07 0:00,0,55.327,0.003,-0.5,1004.97406
2024-01-07 1:00,0,56.028,0.003,-0.296,1004.95087
2024-01-07 2:00,0,55.813,0.003,-1.106,1005.4231
2024-01-07 3:00,0,53.877,0.003,-1.828,1005.67896
2024-01-07 4:00,0,52.032,0.003,-2.015,1005.8084
2024-01-07 5:00,0,49.792,0.002,-2.175,1005.9394
2024-01-07 6:00,0,46.903,0.002,-2.299,1006.35834
2024-01-07 7:00,0,43.408,0.002,-2.381,1007.15656
2024-01-07 8:00,13.596,40.707,0.002,-2.384,1007.78534
2024-01-07 9:00,152.873,39.097,0.002,-1.635,1008.4974
2024-01-07 10:00,284.409,35.514,0.002,-0.364,1008.5639
2024-01-07 11:00,377.092,33.721,0.002,0.821,1008.3637
2024-01-07 12:00,455.556,32.115,0.002,1.917,1007.99835
2024-01-07 13:00,470.001,29.787,0.002,1.985,1007.74054
2024-01-07 14:00,430.996,29.723,0.002,1.65,1007.74585
2024-01-07 15:00,326.255,30.401,0.002,1.074,1007.808
2024-01-07 16:00,185.767,31.928,0.002,-0.51,1008.1934
2024-01-07 17:00,44.676,32.79,0.002,-2.306,1008.5501
2024-01-07 18:00,0,35.532,0.002,-3.812,1009.0775
2024-01-07 19:00,0,34.963,0.002,-4.037,1009.3154
2024-01-07 20:00,0,34.488,0.001,-4.199,1009.52814
2024-01-07 21:00,0,34.571,0.001,-4.335,1009.77765
2024-01-07 22:00,0,32.405,0.001,-4.505,1009.96246
2024-01-07 23:00,0,31.435,0.001,-4.691,1010.04565
2024-01-08 0:00,0,31.887,0.001,-4.858,1010.11523
2024-01-08 1:00,0,34.413,0.001,-4.809,1010.7588
2024-01-08 2:00,0,35.227,0.002,-4.83,1010.8966
2024-01-08 3:00,0,37.51,0.002,-4.886,1010.89703
2024-01-08 4:00,0,37.745,0.002,-4.982,1010.8591
2024-01-08 5:00,0,37.097,0.002,-5.093,1010.9749
2024-01-08 6:00,0,36.794,0.002,-5.208,1011.20844
2024-01-08 7:00,0,36.707,0.002,-4.653,1011.4455
2024-01-08 8:00,13.681,36.053,0.002,-4.027,1011.6183
2024-01-08 9:00,173.114,33.199,0.001,-2.554,1011.819
2024-01-08 10:00,323.675,30.218,0.001,-0.082,1011.65045
2024-01-08 11:00,448.743,28.232,0.001,2.207,1011.3042
2024-01-08 12:00,507.338,26.646,0.001,4.333,1010.8006
2024-01-08 13:00,518.575,24.741,0.001,4.389,1010.18896
2024-01-08 14:00,459.805,23.575,0.001,4.053,1009.60834
2024-01-08 15:00,325.979,25.194,0.002,3.368,1009.0353
2024-01-08 16:00,186.649,26.77,0.002,1.23,1008.93414
2024-01-08 17:00,46.299,32.359,0.002,-1.188,1008.8837
2024-01-08 18:00,0,37.336,0.002,-3.148,1008.91345
2024-01-08 19:00,0,41.208,0.002,-3.292,1008.89026
2024-01-08 20:00,0,46.764,0.002,-3.448,1008.74554
2024-01-08 21:00,0,45.861,0.002,-3.529,1008.6987
2024-01-08 22:00,0,46.806,0.002,-3.591,1008.53143
2024-01-08 23:00,0,46.027,0.002,-3.535,1008.3381
2024-01-09 0:00,0,47.29,0.002,-3.516,1008.00525
2024-01-09 1:00,0,44.531,0.002,-3.473,1007.609
2024-01-09 2:00,0,46.423,0.002,-3.508,1007.35004
2024-01-09 3:00,0,48.383,0.002,-3.471,1006.8641
2024-01-09 4:00,0,48.921,0.002,-2.824,1006.3481
2024-01-09 5:00,0,53.618,0.002,-3.065,1005.89166
2024-01-09 6:00,0,53.454,0.002,-2.912,1005.67084
2024-01-09 7:00,0,55.038,0.002,-2.507,1005.3986
2024-01-09 8:00,13.333,55.517,0.002,-1.921,1005.2431
2024-01-09 9:00,113.621,52.88,0.002,-0.452,1005.1717
2024-01-09 10:00,203.54,51.134,0.003,1.702,1004.8812
2024-01-09 11:00,259.457,49.27,0.003,3.64,1004.28656
2024-01-09 12:00,298.554,49.087,0.003,4.996,1003.5271
2024-01-09 13:00,285.003,49.964,0.003,4.586,1002.7747
2024-01-09 14:00,196.044,50.872,0.004,3.942,1002.15936
2024-01-09 15:00,126.824,51.668,0.004,3.164,1001.64966
2024-01-09 16:00,72.528,54.233,0.004,2.411,1001.6016
2024-01-09 17:00,18.822,57.775,0.004,1.517,1001.5245
2024-01-09 18:00,0,61.127,0.004,0.808,1001.54395
2024-01-09 19:00,0,60.474,0.004,0.838,1001.5733
2024-01-09 20:00,0,62.404,0.004,0.815,1001.31146
2024-01-09 21:00,0,62.485,0.004,0.805,1001.2657
2024-01-09 22:00,0,62.54,0.004,0.698,1001.1411
2024-01-09 23:00,0,62.234,0.004,0.631,1001.0558
2024-01-10 0:00,0,61.846,0.004,0.569,1000.85724
2024-01-10 1:00,0,61.297,0.004,-0.003,1000.4191
2024-01-10 2:00,0,60.707,0.004,-0.035,1000.5123
2024-01-10 3:00,0,59.838,0.004,-0.097,1000.441
2024-01-10 4:00,0,58.926,0.004,-0.39,1000.4533
2024-01-10 5:00,0,56.986,0.003,-0.731,1000.69
2024-01-10 6:00,0,55.865,0.003,-1.069,1001.1274
2024-01-10 7:00,0,54.528,0.003,-0.916,1001.58075
2024-01-10 8:00,12.111,54.29,0.003,-0.783,1002.0102
2024-01-10 9:00,82.39,53.245,0.003,-0.436,1002.6034
2024-01-10 10:00,189.268,51.89,0.003,0.95,1002.9303
2024-01-10 11:00,286.893,50.359,0.003,2.539,1002.9792
2024-01-10 12:00,382.02,49.014,0.003,4.332,1002.8132
2024-01-10 13:00,403.111,48.125,0.003,4.784,1002.73376
2024-01-10 14:00,379.182,47.597,0.003,4.717,1002.89874
2024-01-10 15:00,290.433,46.899,0.003,4.416,1003.0395
2024-01-10 16:00,154.421,46.807,0.003,2.506,1003.42487
2024-01-10 17:00,43.047,47.711,0.003,0.379,1003.76215
2024-01-10 18:00,0,49.726,0.003,-1.649,1004.02954
2024-01-10 19:00,0,49.725,0.003,-2.171,1004.1527
2024-01-10 20:00,0,49.966,0.003,-2.496,1004.3424
2024-01-10 21:00,0,49.839,0.003,-2.775,1004.5411
2024-01-10 22:00,0,50.161,0.003,-2.732,1004.71545
2024-01-10 23:00,0,50.774,0.003,-2.859,1004.82904
2024-01-11 0:00,0,50.868,0.003,-2.847,1004.6968
2024-01-11 1:00,0,50.719,0.003,-3.294,1004.62714
2024-01-11 2:00,0,50.788,0.003,-3.249,1004.7812
2024-01-11 3:00,0,50.782,0.003,-3.264,1004.5664
2024-01-11 4:00,0,51.291,0.003,-3.352,1004.2373
2024-01-11 5:00,0,51.634,0.003,-3.345,1004.02576
2024-01-11 6:00,0,51.674,0.003,-3.406,1004.03436
2024-01-11 7:00,0,52.288,0.003,-2.887,1004.2365
2024-01-11 8:00,14.128,52.124,0.003,-2.21,1004.30927
2024-01-11 9:00,132.361,50.031,0.003,-0.521,1004.26465
2024-01-11 10:00,281.517,46.395,0.003,1.905,1003.8887
2024-01-11 11:00,378.835,45.353,0.003,4.012,1003.28284
2024-01-11 12:00,432.506,41.321,0.003,5.836,1002.4355
2024-01-11 13:00,426.11,40.992,0.003,5.666,1001.7357
2024-01-11 14:00,352.404,41.812,0.003,5.639,1001.23145
2024-01-11 15:00,260.23,40.226,0.003,5.437,1000.7484
2024-01-11 16:00,148.235,41.937,0.003,3.788,1000.6455
2024-01-11 17:00,34.814,46.606,0.004,2.088,1000.632
2024-01-11 18:00,0,50.597,0.004,0.494,1000.59296
2024-01-11 19:00,0,52.95,0.004,0.845,1000.29974
2024-01-11 20:00,0,54.329,0.004,1.101,999.9242
2024-01-11 21:00,0,55.252,0.004,1.375,999.7199
2024-01-11 22:00,0,56.125,0.004,1.766,999.7203
2024-01-11 23:00,0,58.343,0.004,1.797,999.8765
2024-01-12 0:00,0,60.058,0.004,1.966,1000.1356
2024-01-12 1:00,0,62.428,0.004,0.892,1000.01575
2024-01-12 2:00,0,62.393,0.004,1.027,1000.4019
2024-01-12 3:00,0,62.183,0.004,0.588,1000.50336
2024-01-12 4:00,0,59.736,0.004,-0.004,1000.58405
2024-01-12 5:00,0,58.597,0.004,-1.041,1000.7713
2024-01-12 6:00,0,56.095,0.003,-1.683,1001.21173
2024-01-12 7:00,0,53.935,0.003,-1.555,1001.72784
2024-01-12 8:00,14.424,51.416,0.003,-1.111,1002.1983
2024-01-12 9:00,134.342,45.402,0.003,0.458,1002.7008
2024-01-12 10:00,288.644,34.336,0.003,2.4,1002.78906
2024-01-12 11:00,433.126,28.13,0.002,4.247,1002.76025
2024-01-12 12:00,507.63,26.115,0.002,5.756,1002.6043
2024-01-12 13:00,525.378,23.775,0.002,5.732,1002.4447
2024-01-12 14:00,475.615,22.786,0.002,5.469,1002.4729
2024-01-12 15:00,371.412,22.582,0.002,4.979,1002.3951
2024-01-12 16:00,218.609,24.474,0.002,2.908,1002.6259
2024-01-12 17:00,58.831,28.168,0.002,0.505,1003.1006
2024-01-12 18:00,0,34.414,0.002,-1.642,1003.5528
2024-01-12 19:00,0,40.417,0.002,-2.087,1003.8741
2024-01-12 20:00,0,42.537,0.002,-2.503,1004.1076
2024-01-12 21:00,0,42.922,0.002,-2.777,1004.355
2024-01-12 22:00,0,44.069,0.002,-2.862,1004.58435
2024-01-12 23:00,0,44.334,0.002,-2.88,1004.79376
2024-01-13 0:00,0,42.508,0.002,-2.904,1004.9673
2024-01-13 1:00,0,40.81,0.002,-2.839,1004.45447
2024-01-13 2:00,0,41.327,0.002,-2.874,1004.73395
2024-01-13 3:00,0,42.932,0.002,-2.87,1004.80475
2024-01-13 4:00,0,43.805,0.002,-2.84,1004.7976
2024-01-13 5:00,0,43.843,0.002,-2.819,1004.8983
2024-01-13 6:00,0,44.109,0.002,-2.761,1005.0834
2024-01-13 7:00,0,45.342,0.002,-2.015,1005.73236
2024-01-13 8:00,14.813,44.567,0.002,-1.105,1006.3339
2024-01-13 9:00,160.834,43.904,0.003,0.422,1006.9668
2024-01-13 10:00,313.604,41.185,0.003,2.837,1007.23517
2024-01-13 11:00,414.198,35.98,0.003,4.772,1007.23706
2024-01-13 12:00,477.042,35.218,0.003,6.629,1007.08575
2024-01-13 13:00,502.391,32.153,0.003,6.918,1006.9349
2024-01-13 14:00,475.644,27.077,0.002,7.014,1007.0887
2024-01-13 15:00,364.984,25.933,0.002,6.629,1007.1266
2024-01-13 16:00,210.192,26.455,0.002,4.303,1007.43567
2024-01-13 17:00,60.557,32.239,0.002,1.601,1007.8051
2024-01-13 18:00,0,38.661,0.002,-0.955,1008.28296
2024-01-13 19:00,0,44.058,0.003,-1.437,1008.3759
2024-01-13 20:00,0,40.773,0.003,-1.793,1008.26996
2024-01-13 21:00,0,39.239,0.002,-2.141,1008.2181
2024-01-13 22:00,0,41.02,0.002,-2.335,1008.2342
2024-01-13 23:00,0,41.661,0.002,-2.435,1008.1921
2024-01-14 0:00,0,45.076,0.003,-2.548,1007.95526
2024-01-14 1:00,0,49.767,0.003,-2.201,1008.0128
2024-01-14 2:00,0,50.69,0.003,-2.307,1007.7684
2024-01-14 3:00,0,52.452,0.003,-2.422,1007.36914
2024-01-14 4:00,0,53.175,0.003,-2.443,1006.79614
2024-01-14 5:00,0,53.213,0.003,-2.449,1006.61755
2024-01-14 6:00,0,53.893,0.003,-2.406,1006.5909
2024-01-14 7:00,0,53.409,0.003,-1.755,1006.52783
2024-01-14 8:00,15.42,53.246,0.003,-0.847,1006.43915
2024-01-14 9:00,142.4,52.402,0.003,1.067,1006.31665
2024-01-14 10:00,223.894,51.358,0.003,3.702,1005.8309
2024-01-14 11:00,280.383,50.698,0.004,6.142,1004.967
2024-01-14 12:00,275.563,52.621,0.004,8.41,1003.82245
2024-01-14 13:00,283.979,55.767,0.005,8.51,1002.7425
2024-01-14 14:00,167.397,58.571,0.005,7.747,1002.1783
2024-01-14 15:00,82.405,64.339,0.006,7.111,1001.5711
2024-01-14 16:00,40.942,70.237,0.006,5.926,1002.33276
2024-01-14 17:00,13.47,68.538,0.005,4.519,1003.0003
2024-01-14 18:00,0,67.842,0.005,3.258,1003.48535
2024-01-14 19:00,0,61.913,0.004,2.55,1004.1989
2024-01-14 20:00,0,57.096,0.004,1.509,1004.77216
2024-01-14 21:00,0,52.302,0.003,0.654,1005.2373
2024-01-14 22:00,0,49.304,0.003,-0.472,1005.60364
2024-01-14 23:00,0,45.439,0.003,-1.567,1005.99817
2024-01-15 0:00,0,43.793,0.003,-2.419,1006.2358
2024-01-15 1:00,0,40.703,0.002,-2.904,1006.6626
2024-01-15 2:00,0,39.664,0.002,-3.347,1006.9327
2024-01-15 3:00,0,38.438,0.002,-3.771,1007.13043
2024-01-15 4:00,0,38.485,0.002,-3.846,1007.25824
2024-01-15 5:00,0,37.053,0.002,-3.959,1007.6116
2024-01-15 6:00,0,40.647,0.002,-4.07,1008.14386
2024-01-15 7:00,0,40.717,0.002,-3.624,1008.837
2024-01-15 8:00,16.161,40.234,0.002,-3.011,1009.4198
2024-01-15 9:00,180.822,35.398,0.002,-1.64,1010.0677
2024-01-15 10:00,337.553,32.481,0.002,0.428,1010.34875
2024-01-15 11:00,453.369,27.368,0.002,2.348,1010.3466
2024-01-15 12:00,525.784,24.057,0.001,4.031,1010.0491
2024-01-15 13:00,546.501,23.626,0.001,4.124,1009.6827
2024-01-15 14:00,494.525,22.544,0.001,3.873,1009.61914
2024-01-15 15:00,388.128,22.881,0.002,3.352,1009.6376
2024-01-15 16:00,234.745,25.083,0.002,1.398,1010.0054
2024-01-15 17:00,68.633,29.643,0.002,-0.845,1010.42334
2024-01-15 18:00,0,34.893,0.002,-2.865,1010.97906
2024-01-15 19:00,0,37.461,0.002,-3.135,1011.41565
2024-01-15 20:00,0,38.717,0.002,-3.298,1011.6486
2024-01-15 21:00,0,39.165,0.002,-3.462,1011.8766
2024-01-15 22:00,0,39.674,0.002,-3.492,1012.2378
2024-01-15 23:00,0,40.833,0.002,-3.508,1012.6105
2024-01-16 0:00,0,40.592,0.002,-3.517,1012.8183
2024-01-16 1:00,0,45.408,0.002,-3.334,1012.765
2024-01-16 2:00,0,46.373,0.002,-3.449,1012.97534
2024-01-16 3:00,0,45.377,0.002,-3.565,1012.9863
2024-01-16 4:00,0,43.374,0.002,-3.69,1012.8873
2024-01-16 5:00,0,40.796,0.002,-3.8,1012.9648
2024-01-16 6:00,0,42.648,0.002,-3.911,1013.36847
2024-01-16 7:00,0,42.273,0.002,-3.358,1013.8774
2024-01-16 8:00,16.73,42.61,0.002,-2.628,1014.38245
2024-01-16 9:00,182.408,34.812,0.002,-0.964,1014.8467
2024-01-16 10:00,336.891,30.635,0.002,1.712,1015.33655
2024-01-16 11:00,466.417,29.216,0.002,4.035,1015.55316
2024-01-16 12:00,527.786,27.549,0.002,5.989,1015.41345
2024-01-16 13:00,543.983,26.885,0.002,6.129,1015.0623
2024-01-16 14:00,499.213,26.644,0.002,5.934,1014.83624
2024-01-16 15:00,382.832,25.133,0.002,5.325,1014.6545
2024-01-16 16:00,209.283,26.587,0.002,3.222,1014.68164
2024-01-16 17:00,62.888,38.022,0.002,0.744,1014.8872
2024-01-16 18:00,0,43.208,0.002,-1.726,1015.1465
2024-01-16 19:00,0,44.676,0.002,-2.2,1015.1365
2024-01-16 20:00,0,44.649,0.002,-2.6,1014.97577
2024-01-16 21:00,0,45.066,0.002,-2.907,1014.84595
2024-01-16 22:00,0,46.442,0.002,-2.973,1014.81464
2024-01-16 23:00,0,47.095,0.002,-3.011,1014.7203
2024-01-17 0:00,0,48.472,0.002,-3.036,1014.56995
2024-01-17 1:00,0,51.154,0.002,-2.614,1014.0734
2024-01-17 2:00,0,51.583,0.002,-2.642,1013.8752
2024-01-17 3:00,0,52.537,0.002,-2.583,1013.5243
2024-01-17 4:00,0,53.342,0.002,-2.444,1012.9404
2024-01-17 5:00,0,54.278,0.002,-2.25,1012.5371
2024-01-17 6:00,0,55.632,0.002,-2.219,1012.2976
2024-01-17 7:00,0,58.796,0.002,-1.495,1012.2398
2024-01-17 8:00,12.767,58.357,0.002,-0.259,1012.1661
2024-01-17 9:00,67.367,60.057,0.002,0.956,1012.1444
2024-01-17 10:00,86.366,61.312,0.003,2.022,1011.9333
2024-01-17 11:00,87.122,63.021,0.003,2.775,1011.5916
2024-01-17 12:00,82.663,65.527,0.003,3.354,1011.01917
2024-01-17 13:00,113.338,68.737,0.003,3.033,1010.1833
2024-01-17 14:00,113.899,68.301,0.004,2.549,1009.5603
2024-01-17 15:00,82.713,68.9,0.004,1.873,1008.9875
2024-01-17 16:00,33.692,71.434,0.004,1.589,1008.84015
2024-01-17 17:00,26.641,73.704,0.004,1.327,1008.4069
2024-01-17 18:00,0,74.691,0.004,1.005,1008.27325
2024-01-17 19:00,0,74.905,0.004,1.126,1008.01447
2024-01-17 20:00,0,75.49,0.004,1.261,1007.78564
2024-01-17 21:00,0,75.873,0.004,1.401,1007.50195
2024-01-17 22:00,0,77.143,0.004,1.505,1007.18
2024-01-17 23:00,0,77.52,0.004,1.634,1006.94727
2024-01-18 0:00,0,77.696,0.004,1.792,1006.57104
2024-01-18 1:00,0,79.724,0.005,2.172,1004.67334
2024-01-18 2:00,0,79.884,0.005,2.406,1004.3267
2024-01-18 3:00,0,80.072,0.005,2.605,1003.91315
2024-01-18 4:00,0,79.417,0.005,2.695,1003.52576
2024-01-18 5:00,0,78.686,0.005,2.814,1003.3522
2024-01-18 6:00,0,78.007,0.005,2.859,1003.5138
2024-01-18 7:00,0,77.22,0.005,2.893,1004.0305
2024-01-18 8:00,9.869,76.399,0.005,2.891,1004.4489
2024-01-18 9:00,31.247,75.411,0.005,2.963,1004.97205
2024-01-18 10:00,62.909,74.218,0.005,3.453,1005.34015
2024-01-18 11:00,85.239,73.025,0.005,4.021,1005.39355
2024-01-18 12:00,92.908,71.803,0.005,4.555,1005.1774
2024-01-18 13:00,98.2,70.463,0.005,4.852,1004.95087
2024-01-18 14:00,118.184,68.887,0.005,5.21,1004.877
2024-01-18 15:00,100.845,67.43,0.005,5.21,1004.9941
2024-01-18 16:00,71.65,67.453,0.005,4.768,1005.33264
2024-01-18 17:00,24.974,67.464,0.005,4.279,1005.69104
2024-01-18 18:00,0,67.677,0.005,3.812,1006.1521
2024-01-18 19:00,0,67.128,0.005,3.878,1006.492
2024-01-18 20:00,0,67.02,0.005,3.927,1006.72296
2024-01-18 21:00,0,66.67,0.005,3.899,1007.066
2024-01-18 22:00,0,66.27,0.005,3.752,1007.6287
2024-01-18 23:00,0,65.735,0.005,3.575,1008.104
