기상관측일시,습도(%),기온(degC),대기압(mmHg)
2024-01-05 20:00,67.55,7.93,760.01902
2024-01-05 21:00,71.97,6.84,760.44962
2024-01-05 22:00,74.75,6.02,760.63966
2024-01-05 23:00,76.69,4.95,760.75275
2024-01-06 0:00,79.23,3.80,760.71012
2024-01-06 1:00,83.63,2.58,760.66764
2024-01-06 2:00,84.90,1.67,761.01051
2024-01-06 3:00,87.15,0.57,761.06563
2024-01-06 4:00,92.01,-0.91,761.09472
2024-01-06 5:00,94.64,-1.48,761.17491
2024-01-06 6:00,95.75,-1.83,761.46592
2024-01-06 7:00,93.27,-2.13,761.90100
2024-01-06 8:00,91.19,-1.92,762.29391
2024-01-06 9:00,92.69,-1.18,762.50630
2024-01-06 10:00,78.85,0.95,762.40767
2024-01-06 11:00,58.48,2.74,761.76824
2024-01-06 12:00,49.95,3.71,761.25811
2024-01-06 13:00,44.78,5.02,760.86304
2024-01-06 14:00,41.40,5.56,760.59995
2024-01-06 15:00,39.25,5.92,760.43878
2024-01-06 16:00,41.45,5.77,760.57666
2024-01-06 17:00,45.37,4.96,760.83433
2024-01-06 18:00,51.32,3.69,761.25611
2024-01-06 19:00,58.82,2.24,761.45982
2024-01-06 20:00,61.06,1.91,761.30562
2024-01-06 21:00,77.94,2.03,761.69613
2024-01-06 22:00,87.95,1.31,761.76837
2024-01-06 23:00,85.76,1.20,761.80209
2024-01-07 0:00,81.51,1.04,762.01748
2024-01-07 1:00,77.64,0.57,762.20554
2024-01-07 2:00,73.64,0.18,762.51388
2024-01-07 3:00,71.92,0.12,762.67529
2024-01-07 4:00,72.24,-0.10,762.71606
2024-01-07 5:00,77.23,-0.61,762.80364
2024-01-07 6:00,75.11,-0.95,763.13555
2024-01-07 7:00,61.94,-0.74,763.71970
2024-01-07 8:00,50.15,-1.18,764.64219
2024-01-07 9:00,41.53,-1.16,765.25287
2024-01-07 10:00,43.36,-0.40,765.42885
2024-01-07 11:00,42.47,-0.18,765.26566
2024-01-07 12:00,42.71,0.22,764.78285
2024-01-07 13:00,44.52,0.88,764.44759
2024-01-07 14:00,45.65,0.82,764.31931
2024-01-07 15:00,46.79,0.64,764.44862
2024-01-07 16:00,49.16,0.03,764.69257
2024-01-07 17:00,51.81,-0.70,764.93328
2024-01-07 18:00,50.76,-1.35,765.35823
2024-01-07 19:00,50.36,-1.93,765.73204
2024-01-07 20:00,50.10,-2.41,765.93789
2024-01-07 21:00,48.69,-2.96,766.05171
2024-01-07 22:00,48.45,-3.40,765.98062
2024-01-07 23:00,56.36,-3.85,765.93217
2024-01-08 0:00,59.17,-4.45,766.02177
2024-01-08 1:00,65.05,-5.46,766.12428
2024-01-08 2:00,71.36,-6.25,766.37420
2024-01-08 3:00,71.69,-6.59,766.28771
2024-01-08 4:00,71.37,-6.80,766.16231
2024-01-08 5:00,74.05,-7.27,766.18466
2024-01-08 6:00,77.80,-7.74,766.45664
2024-01-08 7:00,80.50,-8.34,766.61624
2024-01-08 8:00,79.63,-8.08,766.69092
2024-01-08 9:00,72.04,-6.36,766.83290
2024-01-08 10:00,61.24,-4.49,766.66684
2024-01-08 11:00,49.82,-3.41,766.01451
2024-01-08 12:00,43.88,-2.47,765.33369
2024-01-08 13:00,39.08,-1.63,764.52281
2024-01-08 14:00,30.12,-0.43,763.92373
2024-01-08 15:00,33.27,0.72,763.58208
2024-01-08 16:00,33.52,1.07,763.57921
2024-01-08 17:00,36.17,0.83,763.85266
2024-01-08 18:00,40.75,-0.13,763.95393
2024-01-08 19:00,47.83,-1.28,764.16741
2024-01-08 20:00,51.34,-1.95,764.02992
2024-01-08 21:00,61.75,-2.89,763.77633
2024-01-08 22:00,68.28,-4.03,763.46385
2024-01-08 23:00,71.19,-4.30,763.31346
2024-01-09 0:00,68.19,-3.98,763.16385
2024-01-09 1:00,68.11,-3.39,762.80725
2024-01-09 2:00,67.70,-3.08,762.38883
2024-01-09 3:00,68.15,-2.78,762.09645
2024-01-09 4:00,67.14,-2.48,761.66041
2024-01-09 5:00,67.13,-2.27,761.37548
2024-01-09 6:00,66.38,-2.20,760.99781
2024-01-09 7:00,65.07,-1.96,760.84336
2024-01-09 8:00,64.20,-1.51,760.72212
2024-01-09 9:00,61.72,-0.87,760.70160
2024-01-09 10:00,58.82,0.27,760.51186
2024-01-09 11:00,56.08,1.57,760.03487
2024-01-09 12:00,55.23,2.29,759.30165
2024-01-09 13:00,58.72,2.87,758.55112
2024-01-09 14:00,60.23,3.42,757.88851
2024-01-09 15:00,62.66,3.96,757.90956
2024-01-09 16:00,70.86,2.98,758.04496
2024-01-09 17:00,82.83,1.92,758.20650
2024-01-09 18:00,88.37,1.44,758.44223
2024-01-09 19:00,90.68,1.22,758.61969
2024-01-09 20:00,92.16,0.90,758.67062
2024-01-09 21:00,94.17,0.85,758.84500
2024-01-09 22:00,94.69,0.81,758.85500
2024-01-09 23:00,94.85,0.85,758.79254
2024-01-10 0:00,95.84,0.82,758.69721
2024-01-10 1:00,95.02,0.90,758.73620
2024-01-10 2:00,90.26,1.00,758.98856
2024-01-10 3:00,85.58,1.06,758.97243
2024-01-10 4:00,81.26,0.76,759.18348
2024-01-10 5:00,79.02,0.30,759.44066
2024-01-10 6:00,82.85,-0.46,759.58002
2024-01-10 7:00,86.55,-1.20,759.82796
2024-01-10 8:00,87.09,-1.18,760.19209
2024-01-10 9:00,87.66,-0.85,760.58846
2024-01-10 10:00,77.14,-0.24,760.99537
2024-01-10 11:00,75.66,-0.03,760.81435
2024-01-10 12:00,76.26,0.00,760.51694
2024-01-10 13:00,77.52,0.22,760.49454
2024-01-10 14:00,77.01,0.14,760.41293
2024-01-10 15:00,76.59,0.29,760.57441
2024-01-10 16:00,76.91,0.36,760.65059
2024-01-10 17:00,77.35,0.14,760.93064
2024-01-10 18:00,76.69,-0.08,761.33988
2024-01-10 19:00,79.06,-0.27,761.60135
2024-01-10 20:00,82.98,-0.88,761.62327
2024-01-10 21:00,86.95,-1.68,761.44839
2024-01-10 22:00,88.59,-2.59,761.28581
2024-01-10 23:00,89.93,-2.94,761.15724
2024-01-11 0:00,89.64,-3.42,761.08317
2024-01-11 1:00,90.32,-3.72,761.23605
2024-01-11 2:00,89.93,-3.74,761.44187
2024-01-11 3:00,90.67,-3.72,761.27286
2024-01-11 4:00,90.60,-3.82,760.87558
2024-01-11 5:00,89.63,-3.53,760.74744
2024-01-11 6:00,90.04,-3.00,760.87866
2024-01-11 7:00,89.93,-2.75,761.04912
2024-01-11 8:00,89.08,-2.57,760.69853
2024-01-11 9:00,87.03,-1.87,760.68592
2024-01-11 10:00,85.32,-0.87,760.40813
2024-01-11 11:00,79.16,0.44,759.70949
2024-01-11 12:00,77.07,1.76,759.07293
2024-01-11 13:00,67.25,3.58,758.46922
2024-01-11 14:00,64.72,4.19,757.93488
2024-01-11 15:00,64.34,4.55,757.75535
2024-01-11 16:00,64.95,4.69,757.62588
2024-01-11 17:00,67.58,4.53,757.50365
2024-01-11 18:00,69.16,4.52,757.54053
2024-01-11 19:00,70.06,4.70,757.42554
2024-01-11 20:00,69.13,4.71,757.34631
2024-01-11 21:00,69.11,4.59,757.21283
2024-01-11 22:00,69.30,4.61,757.13063
2024-01-11 23:00,69.78,4.94,757.17423
2024-01-12 0:00,73.02,4.20,757.35013
2024-01-12 1:00,77.65,3.30,757.64077
2024-01-12 2:00,81.11,2.83,757.81296
2024-01-12 3:00,84.06,2.36,757.77153
2024-01-12 4:00,84.25,2.07,757.87451
2024-01-12 5:00,87.37,1.53,758.14207
2024-01-12 6:00,88.93,1.46,758.28244
2024-01-12 7:00,89.80,0.98,758.60738
2024-01-12 8:00,91.26,0.70,758.87368
2024-01-12 9:00,88.31,1.64,759.26000
2024-01-12 10:00,77.40,3.46,759.41459
2024-01-12 11:00,52.23,5.66,759.04816
2024-01-12 12:00,34.67,6.68,758.85111
2024-01-12 13:00,30.66,7.09,758.35109
2024-01-12 14:00,33.68,7.71,758.29847
2024-01-12 15:00,34.80,7.37,758.50057
2024-01-12 16:00,33.44,7.22,758.74754
2024-01-12 17:00,30.21,6.14,759.09963
2024-01-12 18:00,36.80,4.85,759.58025
2024-01-12 19:00,50.06,3.18,760.13482
2024-01-12 20:00,52.74,1.81,760.57019
2024-01-12 21:00,55.23,0.70,760.87561
2024-01-12 22:00,58.80,-0.24,761.08624
2024-01-12 23:00,65.09,-1.00,761.11221
2024-01-13 0:00,62.91,-1.50,761.26714
2024-01-13 1:00,65.60,-1.85,761.46618
2024-01-13 2:00,66.45,-2.32,761.56313
2024-01-13 3:00,70.85,-2.66,761.64464
2024-01-13 4:00,71.45,-2.92,761.90754
2024-01-13 5:00,72.02,-3.23,762.23338
2024-01-13 6:00,72.73,-3.42,762.79708
2024-01-13 7:00,73.01,-3.60,763.43664
2024-01-13 8:00,73.64,-3.37,763.91085
2024-01-13 9:00,70.03,-1.86,764.20914
2024-01-13 10:00,55.46,0.96,764.48762
2024-01-13 11:00,45.38,3.06,764.33420
2024-01-13 12:00,42.84,3.98,763.95843
2024-01-13 13:00,41.10,4.56,763.59222
2024-01-13 14:00,39.36,5.01,763.36863
2024-01-13 15:00,38.76,5.38,763.42690
2024-01-13 16:00,38.34,5.50,763.62768
2024-01-13 17:00,39.69,5.08,763.77005
2024-01-13 18:00,44.64,4.16,763.89826
2024-01-13 19:00,57.27,2.02,764.22090
2024-01-13 20:00,63.70,0.59,764.37458
2024-01-13 21:00,67.37,-0.30,764.45841
2024-01-13 22:00,69.34,-1.04,764.24099
2024-01-13 23:00,71.58,-1.53,763.91938
2024-01-14 0:00,73.73,-1.99,763.54435
2024-01-14 1:00,78.85,-2.77,763.31075
2024-01-14 2:00,79.36,-2.94,763.46535
2024-01-14 3:00,79.95,-2.87,763.47046
2024-01-14 4:00,84.19,-3.64,763.13617
2024-01-14 5:00,87.98,-4.12,762.72885
2024-01-14 6:00,86.03,-3.86,762.42589
2024-01-14 7:00,85.64,-4.30,762.32306
2024-01-14 8:00,86.01,-3.86,762.25072
2024-01-14 9:00,81.88,-2.24,762.36629
2024-01-14 10:00,73.55,-0.36,761.81221
2024-01-14 11:00,61.72,2.50,761.19370
2024-01-14 12:00,59.05,4.24,759.81782
2024-01-14 13:00,62.09,8.31,758.64765
2024-01-14 14:00,67.77,8.95,758.09610
2024-01-14 15:00,78.84,8.77,758.13939
2024-01-14 16:00,88.03,7.75,758.86811
2024-01-14 17:00,88.82,6.93,759.26157
2024-01-14 18:00,86.43,6.08,759.79021
2024-01-14 19:00,81.87,4.72,760.62836
2024-01-14 20:00,79.41,3.53,761.22719
2024-01-14 21:00,76.60,2.79,761.51411
2024-01-14 22:00,74.15,1.45,761.91376
2024-01-14 23:00,73.88,0.56,762.27315
2024-01-15 0:00,72.38,0.02,762.49962
2024-01-15 1:00,68.54,-0.77,762.94682
2024-01-15 2:00,64.58,-1.49,763.37486
2024-01-15 3:00,69.58,-2.08,763.69102
2024-01-15 4:00,73.95,-2.97,763.96288
2024-01-15 5:00,75.01,-3.56,764.42816
2024-01-15 6:00,78.58,-4.14,764.85706
2024-01-15 7:00,82.79,-4.66,765.39469
2024-01-15 8:00,77.19,-4.06,765.97276
2024-01-15 9:00,60.73,-2.82,766.51718
2024-01-15 10:00,43.89,-1.70,766.50788
2024-01-15 11:00,43.36,-0.81,766.25168
2024-01-15 12:00,41.77,0.10,765.69003
2024-01-15 13:00,38.39,1.58,765.25991
2024-01-15 14:00,32.25,2.26,764.95381
2024-01-15 15:00,30.08,2.77,765.14502
2024-01-15 16:00,28.05,2.49,765.47542
2024-01-15 17:00,30.95,2.02,766.13030
2024-01-15 18:00,36.34,0.79,766.70258
2024-01-15 19:00,40.07,-0.28,767.19015
2024-01-15 20:00,43.29,-1.11,767.50109
2024-01-15 21:00,48.98,-1.72,767.89830
2024-01-15 22:00,56.96,-2.80,767.88537
2024-01-15 23:00,61.43,-3.35,767.79867
2024-01-16 0:00,61.78,-3.94,767.88760
2024-01-16 1:00,66.12,-4.50,767.93569
2024-01-16 2:00,74.26,-5.31,768.11520
2024-01-16 3:00,76.59,-5.40,768.17177
2024-01-16 4:00,77.53,-6.07,768.25547
2024-01-16 5:00,81.22,-6.27,768.79419
2024-01-16 6:00,77.90,-6.42,769.32275
2024-01-16 7:00,81.07,-6.74,769.58228
2024-01-16 8:00,81.59,-6.46,769.74828
2024-01-16 9:00,69.48,-4.75,769.93164
2024-01-16 10:00,52.01,-2.85,770.19462
2024-01-16 11:00,46.43,-1.57,770.04238
2024-01-16 12:00,41.56,-0.25,769.38112
2024-01-16 13:00,38.81,1.02,768.90802
2024-01-16 14:00,36.84,2.05,768.61393
2024-01-16 15:00,34.80,2.81,768.50890
2024-01-16 16:00,33.30,3.12,768.44232
2024-01-16 17:00,35.00,3.01,768.64122
2024-01-16 18:00,41.54,2.28,768.93346
2024-01-16 19:00,49.84,0.84,769.00729
2024-01-16 20:00,55.40,-0.25,768.93670
2024-01-16 21:00,60.91,-1.03,768.76837
2024-01-16 22:00,63.55,-1.74,768.67831
2024-01-16 23:00,70.13,-2.34,768.42337
2024-01-17 0:00,71.14,-2.67,768.25893
2024-01-17 1:00,73.19,-2.29,768.08192
2024-01-17 2:00,73.70,-2.08,767.80507
2024-01-17 3:00,70.84,-1.81,767.33062
2024-01-17 4:00,73.47,-1.54,767.03252
2024-01-17 5:00,73.34,-1.42,766.76181
2024-01-17 6:00,72.17,-1.27,766.66196
2024-01-17 7:00,73.24,-1.17,766.39340
2024-01-17 8:00,71.64,-0.82,766.32195
2024-01-17 9:00,71.85,-0.26,766.49263
2024-01-17 10:00,78.22,0.11,766.18772
2024-01-17 11:00,80.19,0.44,765.38234
2024-01-17 12:00,81.36,1.06,764.49742
2024-01-17 13:00,80.73,1.72,763.58612
2024-01-17 14:00,84.93,1.92,762.96564
2024-01-17 15:00,88.37,1.94,762.76906
2024-01-17 16:00,89.84,1.99,762.36765
2024-01-17 17:00,90.90,2.19,762.31069
2024-01-17 18:00,93.09,2.15,762.15642
2024-01-17 19:00,93.12,2.29,761.92867
2024-01-17 20:00,93.92,2.37,761.57579
2024-01-17 21:00,93.82,2.47,761.14376
2024-01-17 22:00,94.51,2.60,760.60351
2024-01-17 23:00,95.79,2.53,760.09894
2024-01-18 0:00,96.32,2.71,759.62900
2024-01-18 1:00,96.88,2.88,759.58995
2024-01-18 2:00,96.76,2.94,759.75869
2024-01-18 3:00,97.03,3.10,759.75684
2024-01-18 4:00,97.08,3.21,759.87410
2024-01-18 5:00,97.22,3.32,760.16293
2024-01-18 6:00,97.54,3.45,760.50955
2024-01-18 7:00,97.34,3.51,760.71398
2024-01-18 8:00,97.33,3.71,761.17326
2024-01-18 9:00,96.85,4.01,761.61041
2024-01-18 10:00,95.37,4.57,761.91491
2024-01-18 11:00,89.98,5.01,761.82447
2024-01-18 12:00,81.82,5.20,761.67620
2024-01-18 13:00,75.38,5.63,761.42304
2024-01-18 14:00,77.54,5.99,761.28884
2024-01-18 15:00,81.63,5.61,761.46540
2024-01-18 16:00,81.30,5.52,761.72432
2024-01-18 17:00,81.48,5.69,761.91979
2024-01-18 18:00,82.14,5.81,762.52956
2024-01-18 19:00,84.02,5.86,762.75365
2024-01-18 20:00,85.59,5.95,763.15404
2024-01-18 21:00,85.54,6.19,763.54669
2024-01-18 22:00,82.44,6.54,763.89138
2024-01-18 23:00,72.85,7.09,764.05644
2024-01-19 0:00,70.28,7.05,764.04184
2024-01-19 1:00,69.33,6.94,764.28338
2024-01-19 2:00,68.71,6.80,764.50609
2024-01-19 3:00,67.75,6.73,764.58120
2024-01-19 4:00,67.19,6.62,764.54393
2024-01-19 5:00,66.94,6.52,764.61659
2024-01-19 6:00,67.72,6.32,764.96538
2024-01-19 7:00,69.86,5.93,765.32405
2024-01-19 8:00,70.60,5.88,765.67833
2024-01-19 9:00,68.21,6.38,765.99556
2024-01-19 10:00,65.20,6.81,766.04504
2024-01-19 11:00,62.57,7.16,765.72122
2024-01-19 12:00,60.67,7.56,765.12326
2024-01-19 13:00,59.08,8.02,764.44962
2024-01-19 14:00,59.08,7.82,764.31185
2024-01-19 15:00,60.49,7.31,764.53551
2024-01-19 16:00,61.08,6.86,764.65095
2024-01-19 17:00,61.84,6.47,764.80612
2024-01-19 18:00,62.98,6.08,765.18850
2024-01-19 19:00,63.15,5.79,765.23655
2024-01-19 20:00,63.37,5.64,765.27875
2024-01-19 21:00,63.57,5.69,765.45992
2024-01-19 22:00,63.54,5.78,765.53372
2024-01-19 23:00,62.87,5.96,765.41499
2024-01-20 0:00,62.19,6.15,765.18376
2024-01-20 1:00,62.52,6.28,765.03145
2024-01-20 2:00,63.27,6.33,764.92529
2024-01-20 3:00,63.03,6.38,764.75206
2024-01-20 4:00,65.03,6.27,764.32989
2024-01-20 5:00,64.46,6.34,763.92702
2024-01-20 6:00,62.73,6.60,763.80278
2024-01-20 7:00,62.64,6.68,763.68165
2024-01-20 8:00,64.92,6.64,763.63446
2024-01-20 9:00,68.23,6.63,763.82383
2024-01-20 10:00,71.22,6.52,763.90899
2024-01-20 11:00,77.93,5.95,763.56454
2024-01-20 12:00,83.01,5.42,762.95388
2024-01-20 13:00,84.30,5.27,762.17172
2024-01-20 14:00,87.30,5.06,761.67423
2024-01-20 15:00,90.02,4.45,761.78657
2024-01-20 16:00,90.94,3.98,761.94478
2024-01-20 17:00,91.75,3.63,761.91156
2024-01-20 18:00,92.07,3.43,761.86197
2024-01-20 19:00,91.10,3.26,762.14194
2024-01-20 20:00,91.27,2.96,762.39757
2024-01-20 21:00,92.14,2.86,762.34132
2024-01-20 22:00,91.67,2.88,762.19202
2024-01-20 23:00,90.07,2.92,762.10226
2024-01-21 0:00,88.30,2.87,761.87303
2024-01-21 1:00,87.16,2.65,761.82602
2024-01-21 2:00,85.46,2.52,761.98484
2024-01-21 3:00,84.49,2.51,761.86608
2024-01-21 4:00,83.80,2.49,761.81127
2024-01-21 5:00,81.81,2.43,762.13120
2024-01-21 6:00,80.08,2.39,762.38406
2024-01-21 7:00,79.45,2.41,762.88389
2024-01-21 8:00,77.32,2.58,763.30476
2024-01-21 9:00,77.79,2.88,763.64396
2024-01-21 10:00,72.51,3.67,763.49321
2024-01-21 11:00,68.46,4.82,763.44058
2024-01-21 12:00,64.52,5.88,762.59100
2024-01-21 13:00,62.02,6.53,762.42423
2024-01-21 14:00,66.54,6.37,762.71621
2024-01-21 15:00,69.79,5.90,762.87179
2024-01-21 16:00,71.68,5.37,763.29677
2024-01-21 17:00,77.45,4.45,763.91592
2024-01-21 18:00,80.79,3.76,764.48609
2024-01-21 19:00,79.70,3.25,764.53498
2024-01-21 20:00,77.68,3.14,764.69856
2024-01-21 21:00,78.48,3.00,764.93363
2024-01-21 22:00,76.44,2.41,764.88869
2024-01-21 23:00,73.24,1.58,765.08984
2024-01-22 0:00,69.09,1.01,765.06847
2024-01-22 1:00,65.89,0.67,765.29414
2024-01-22 2:00,62.90,0.16,765.43975
2024-01-22 3:00,67.66,-0.22,765.56769
2024-01-22 4:00,70.70,-0.93,765.72514
2024-01-22 5:00,64.43,-1.75,765.60967
2024-01-22 6:00,68.82,-2.64,765.90109
2024-01-22 7:00,74.22,-3.63,765.97376
2024-01-22 8:00,76.14,-4.14,766.28536
2024-01-22 9:00,71.42,-4.05,766.70724
2024-01-22 10:00,69.29,-3.68,766.71008
2024-01-22 11:00,62.59,-3.12,766.12497
2024-01-22 12:00,61.28,-2.93,765.70831
2024-01-22 13:00,62.39,-3.06,765.26765
2024-01-22 14:00,62.36,-3.23,765.00625
2024-01-22 15:00,64.74,-3.79,765.08430
2024-01-22 16:00,57.80,-3.92,765.29633
2024-01-22 17:00,57.04,-4.59,765.74526
2024-01-22 18:00,60.92,-5.50,766.12130
2024-01-22 19:00,63.86,-5.91,766.22405
2024-01-22 20:00,64.39,-5.71,766.19514
2024-01-22 21:00,68.73,-6.30,766.38423
2024-01-22 22:00,72.29,-6.74,766.25476
2024-01-22 23:00,67.45,-7.04,765.82078
2024-01-23 0:00,74.63,-8.17,765.51732
2024-01-23 1:00,76.43,-9.40,765.73515
2024-01-23 2:00,71.69,-9.96,765.87965
2024-01-23 3:00,73.18,-10.07,765.81793
2024-01-23 4:00,77.82,-9.89,765.63269
2024-01-23 5:00,79.54,-9.82,765.56444
2024-01-23 6:00,73.61,-9.59,765.59499
2024-01-23 7:00,77.05,-9.77,765.53209
2024-01-23 8:00,79.13,-10.41,765.61968
2024-01-23 9:00,78.76,-10.16,765.76077
2024-01-23 10:00,68.85,-8.03,765.51285
2024-01-23 11:00,58.89,-5.78,765.02719
2024-01-23 12:00,57.89,-5.62,764.16429
2024-01-23 13:00,55.45,-5.49,763.44769
2024-01-23 14:00,54.57,-5.38,763.04116
2024-01-23 15:00,54.31,-5.58,762.94206
2024-01-23 16:00,58.78,-6.10,762.95509
2024-01-23 17:00,59.81,-6.46,763.09174
2024-01-23 18:00,64.37,-7.20,763.21841
2024-01-23 19:00,65.89,-7.19,763.41029
2024-01-23 20:00,59.74,-6.93,763.78152
2024-01-23 21:00,64.33,-7.04,764.10083
2024-01-23 22:00,69.53,-7.65,764.48419
2024-01-23 23:00,74.65,-9.00,764.58662
2024-01-24 0:00,72.07,-9.39,764.25783
2024-01-24 1:00,74.15,-9.44,764.26016
2024-01-24 2:00,77.97,-9.38,764.37663
2024-01-24 3:00,79.28,-9.40,764.10386
2024-01-24 4:00,81.85,-9.49,764.10717
2024-01-24 5:00,83.54,-9.39,764.12999
2024-01-24 6:00,83.55,-9.31,764.12796
2024-01-24 7:00,84.31,-9.59,764.32137
2024-01-24 8:00,84.79,-8.87,764.54453
2024-01-24 9:00,73.49,-6.10,764.36457
2024-01-24 10:00,58.44,-4.42,764.78202
2024-01-24 11:00,55.11,-4.49,764.93868
2024-01-24 12:00,53.67,-3.66,764.54777
2024-01-24 13:00,50.48,-3.30,764.19403
2024-01-24 14:00,50.05,-3.08,763.69041
2024-01-24 15:00,50.82,-2.71,763.66719
2024-01-24 16:00,48.30,-2.92,763.66227
2024-01-24 17:00,49.12,-3.30,764.03567
2024-01-24 18:00,51.66,-3.66,764.40643
