datetime,일사량(w/m^2)_예측,습도(%)_예측,절대습도_예측,기온(degC)_예측,습도(%)_관측,기온(degC)_관측,대기압(mmHg)_관측,대기압(mmHg)_예측
2024-01-02 06:00:00,0.0,57.957,0.004,2.098,79.99,4.47,762.11915,755.1769728028
2024-01-02 07:00:00,0.0,59.678,0.004,2.514,82.48,4.22,762.15314,755.1835733484
2024-01-02 08:00:00,12.347,61.158,0.004,2.824,84.77,4.11,762.0328,755.2735057822
2024-01-02 09:00:00,53.99,60.819,0.004,3.515,84.79,4.24,762.34547,755.3058334544
2024-01-02 10:00:00,92.404,58.608,0.004,4.342,79.99,4.94,762.27074,755.1024391418599
2024-01-02 11:00:00,123.571,56.145,0.004,5.257,76.93,5.56,761.69065,754.767138926
2024-01-02 12:00:00,164.692,53.057,0.004,5.96,70.59,6.41,761.13899,754.3348481929199
2024-01-02 13:00:00,190.936,50.371,0.004,5.843,67.45,6.83,760.75108,753.8517257581
2024-01-02 14:00:00,219.904,47.76,0.004,6.582,62.78,7.13,760.57364,753.49501127214
2024-01-02 15:00:00,158.263,46.105,0.004,5.847,62.43,6.96,760.43888,753.23703494786
2024-01-02 16:00:00,99.349,45.915,0.004,4.795,61.33,6.62,760.43924,753.2086976055
2024-01-02 17:00:00,22.78,52.575,0.004,3.521,65.19,5.84,760.57476,753.1637313886
2024-01-02 18:00:00,0.0,54.135,0.004,2.542,69.89,4.97,760.58678,753.1743072628
2024-01-02 19:00:00,0.0,53.938,0.004,2.524,71.32,4.39,760.61035,753.23851257
2024-01-02 20:00:00,0.0,55.288,0.004,2.041,71.01,3.84,760.61497,753.2232113052
2024-01-02 21:00:00,0.0,54.386,0.004,2.09,76.25,3.29,760.4813,753.2050598047999
2024-01-02 22:00:00,0.0,56.161,0.004,1.692,80.36,2.72,760.27796,753.1092018812
2024-01-02 23:00:00,0.0,56.797,0.004,1.493,83.17,2.17,760.3751,753.0725988556
2024-01-03 00:00:00,0.0,56.96,0.004,1.356,83.28,1.91,760.12379,753.0113937964
2024-01-03 01:00:00,0.0,63.793,0.004,1.986,87.26,1.82,759.86804,752.6274370586
2024-01-03 02:00:00,0.0,64.917,0.004,1.998,87.91,1.57,760.01197,752.4882255514
2024-01-03 03:00:00,0.0,65.663,0.004,2.072,87.11,1.67,759.72234,752.25395118632
2024-01-03 04:00:00,0.0,64.391,0.004,1.904,84.73,1.78,759.27657,751.8293710906
2024-01-03 05:00:00,0.0,63.814,0.004,1.732,83.86,1.69,758.94665,751.4411765025
2024-01-03 06:00:00,0.0,62.092,0.004,1.649,87.52,1.74,758.7777,751.3731458791
2024-01-03 07:00:00,0.0,63.627,0.004,1.555,84.98,1.79,759.02602,751.50979967488
2024-01-03 08:00:00,13.492,63.257,0.004,2.003,87.08,1.84,759.21598,751.6661575994
2024-01-03 09:00:00,88.261,61.289,0.004,2.785,83.46,2.04,759.47195,751.79138795092
2024-01-03 10:00:00,157.284,56.552,0.004,4.168,76.41,2.85,759.36408,751.642380634
2024-01-03 11:00:00,219.273,52.816,0.004,4.875,64.57,4.52,758.84284,751.4091113520001
2024-01-03 12:00:00,226.233,46.652,0.004,5.567,62.14,5.73,758.30194,750.9062322841
2024-01-03 13:00:00,234.144,44.034,0.004,5.568,64.15,5.73,758.07867,750.5104620698
2024-01-03 14:00:00,222.451,43.5,0.004,5.492,72.16,5.12,758.02345,750.3707255192
2024-01-03 15:00:00,193.526,41.21,0.003,5.412,70.9,5.64,758.08744,750.365025048
2024-01-03 16:00:00,110.679,42.13,0.004,4.475,78.92,4.83,758.60361,750.651173701
2024-01-03 17:00:00,23.137,48.01,0.004,3.357,76.45,4.38,759.0081,751.010453399
2024-01-03 18:00:00,0.0,49.871,0.004,2.314,80.02,4.15,759.7742,751.4872678124001
2024-01-03 19:00:00,0.0,52.475,0.004,1.802,82.06,3.13,760.22136,751.95990438046
2024-01-03 20:00:00,0.0,49.69,0.004,1.117,83.91,2.45,760.71692,752.346688852
2024-01-03 21:00:00,0.0,48.199,0.003,0.304,78.23,2.24,761.12839,752.6177612588001
2024-01-03 22:00:00,0.0,47.846,0.003,-0.027,77.46,1.72,761.38831,752.9292095030601
2024-01-03 23:00:00,0.0,47.673,0.003,-0.236,84.36,0.68,761.46837,753.2640896842
2024-01-04 00:00:00,0.0,47.617,0.003,-0.424,88.88,-0.16,761.64838,753.4497300292
2024-01-04 01:00:00,0.0,50.965,0.003,-0.709,90.5,-0.56,761.73295,753.7872204261
2024-01-04 02:00:00,0.0,50.889,0.003,-1.187,90.74,-1.22,761.83548,753.9057677252
2024-01-04 03:00:00,0.0,51.176,0.003,-1.636,92.1,-1.92,761.86281,754.0353784388001
2024-01-04 04:00:00,0.0,51.957,0.003,-1.87,94.61,-2.27,761.93871,754.0929081942
2024-01-04 05:00:00,0.0,52.48,0.003,-2.113,95.13,-2.72,762.14289,754.2614096225
2024-01-04 06:00:00,0.0,52.623,0.003,-2.302,94.9,-3.24,762.47755,754.5292942658
2024-01-04 07:00:00,0.0,52.788,0.003,-1.796,95.33,-3.32,762.72054,754.9007249682
2024-01-04 08:00:00,13.438,52.611,0.003,-1.124,95.91,-3.13,763.09727,755.1827482802
2024-01-04 09:00:00,130.608,50.758,0.003,0.67,96.1,-2.64,763.48137,755.3462167924799
2024-01-04 10:00:00,279.538,48.686,0.003,3.253,95.59,-1.56,763.38461,755.2710305776
2024-01-04 11:00:00,398.879,44.161,0.003,5.738,93.18,0.2,763.15348,755.087790431
2024-01-04 12:00:00,460.746,41.242,0.003,7.929,79.26,2.06,762.44576,754.7855529481
2024-01-04 13:00:00,451.654,38.497,0.003,7.935,66.32,3.73,761.76741,754.42521566268
2024-01-04 14:00:00,385.693,37.048,0.003,7.62,58.14,5.41,761.17093,754.1514130301999
2024-01-04 15:00:00,277.185,37.36,0.003,7.074,55.61,5.99,760.95777,753.8710023515
2024-01-04 16:00:00,158.001,37.185,0.003,5.198,56.47,5.89,761.06529,753.9278945542
2024-01-04 17:00:00,36.873,41.167,0.003,3.021,60.38,5.35,761.09749,754.05132475692
2024-01-04 18:00:00,0.0,42.094,0.003,1.163,63.88,4.4,760.93145,754.0863826548
2024-01-04 19:00:00,0.0,44.303,0.004,0.924,71.31,2.96,760.91175,753.96086727972
2024-01-04 20:00:00,0.0,44.694,0.003,0.826,76.75,1.64,760.81706,753.8020341506
2024-01-04 21:00:00,0.0,45.704,0.004,0.757,78.37,1.21,760.53587,753.7226025848
2024-01-04 22:00:00,0.0,46.132,0.004,1.023,77.87,1.49,760.51669,753.72230256
2024-01-04 23:00:00,0.0,47.608,0.004,0.856,83.47,1.25,760.45317,753.6510691718601
2024-01-05 00:00:00,0.0,50.808,0.004,0.519,83.55,1.24,760.50766,753.6151187002
2024-01-05 01:00:00,0.0,53.681,0.004,0.633,84.47,1.38,760.57467,753.6128685142
2024-01-05 02:00:00,0.0,56.229,0.004,1.129,83.36,1.54,760.48708,753.4801075402
2024-01-05 03:00:00,0.0,57.5,0.004,1.508,86.74,1.24,760.38422,753.23864008054
2024-01-05 04:00:00,0.0,58.917,0.004,1.543,85.14,1.25,760.17528,753.08335474468
2024-01-05 05:00:00,0.0,59.758,0.004,1.453,85.55,1.43,760.15134,752.9863417256
2024-01-05 06:00:00,0.0,61.106,0.004,1.514,85.52,1.85,760.22918,753.031495458
2024-01-05 07:00:00,0.0,61.723,0.004,2.106,84.78,2.87,760.40022,753.325519762
2024-01-05 08:00:00,12.395,61.546,0.004,2.686,85.01,3.86,760.59509,753.4967964197
2024-01-05 09:00:00,76.015,61.717,0.004,3.286,77.08,6.58,760.92418,753.66480280708
2024-01-05 10:00:00,190.12,58.822,0.005,5.483,75.04,7.05,761.17939,753.6339077533
2024-01-05 11:00:00,243.987,57.963,0.005,6.899,72.96,7.66,760.85783,753.5623893416
2024-01-05 12:00:00,295.579,55.363,0.005,8.686,70.67,8.39,760.19506,753.3140438134
2024-01-05 13:00:00,307.523,45.689,0.005,9.185,67.58,9.32,759.60552,752.89757938852
2024-01-05 14:00:00,312.029,37.707,0.004,9.187,65.44,9.89,759.23161,752.71193904352
2024-01-05 15:00:00,244.58,34.817,0.004,8.738,63.96,10.13,759.11615,752.6407881622
2024-01-05 16:00:00,140.897,35.359,0.004,6.793,66.84,9.81,759.14211,752.8894712183
2024-01-05 17:00:00,34.97,39.318,0.004,4.533,65.49,9.58,759.3302,753.1638063948
2024-01-05 18:00:00,0.0,44.592,0.004,2.652,63.41,8.99,759.60318,753.4239278964001
2024-01-05 19:00:00,0.0,47.606,0.004,2.105,65.31,8.4,759.83361,753.5460079875199
2024-01-05 20:00:00,0.0,52.084,0.004,1.474,67.55,7.93,760.01902,753.6793990136
2024-01-05 21:00:00,0.0,51.842,0.004,0.947,71.97,6.84,760.44962,753.8465128272001
2024-01-05 22:00:00,0.0,53.173,0.004,0.207,74.75,6.02,760.63966,754.0716814396001
2024-01-05 23:00:00,0.0,51.302,0.003,-0.279,76.69,4.95,760.75275,754.24827603688
2024-01-06 00:00:00,0.0,51.733,0.003,-0.725,79.23,3.8,760.71012,754.3283901591
2024-01-06 01:00:00,0.0,54.093,0.004,-0.591,83.63,2.58,760.66764,753.5889040333
2024-01-06 02:00:00,0.0,53.659,0.003,-0.951,84.9,1.67,761.01051,753.5988423548
2024-01-06 03:00:00,0.0,52.967,0.003,-1.305,87.15,0.57,761.06563,753.504034518
2024-01-06 04:00:00,0.0,52.164,0.003,-1.5,92.01,-0.91,761.09472,753.42652311092
2024-01-06 05:00:00,0.0,50.832,0.003,-1.691,94.64,-1.48,761.17491,753.465406325
2024-01-06 06:00:00,0.0,49.655,0.003,-1.868,95.75,-1.83,761.46592,753.57901071552
2024-01-06 07:00:00,0.0,49.365,0.003,-1.353,93.27,-2.13,761.901,753.8077346218
2024-01-06 08:00:00,13.48,50.22,0.003,-0.732,91.19,-1.92,762.29391,753.98846956132
2024-01-06 09:00:00,140.092,47.754,0.003,0.943,92.69,-1.18,762.5063,754.1507379743999
2024-01-06 10:00:00,300.898,43.708,0.003,3.328,78.85,0.95,762.40767,754.0521798276
2024-01-06 11:00:00,399.13,41.658,0.003,5.436,58.48,2.74,761.76824,753.78662787712
2024-01-06 12:00:00,434.913,37.679,0.003,7.117,49.95,3.71,761.25811,753.4142520966
2024-01-06 13:00:00,439.591,38.016,0.003,6.768,44.78,5.02,760.86304,752.9618146982
2024-01-06 14:00:00,388.365,38.011,0.003,6.336,41.4,5.56,760.59995,752.7635733116
2024-01-06 15:00:00,273.118,40.256,0.003,5.688,39.25,5.92,760.43878,752.6270170238801
2024-01-06 16:00:00,152.92,41.475,0.003,4.063,41.45,5.77,760.57666,752.7849500786
2024-01-06 17:00:00,40.304,45.022,0.003,1.992,45.37,4.96,760.83433,752.87455248512
2024-01-06 18:00:00,0.0,47.998,0.003,0.218,51.32,3.69,761.25611,752.9788786087
2024-01-06 19:00:00,0.0,49.302,0.003,-0.224,58.82,2.24,761.45982,752.8780777765201
2024-01-06 20:00:00,0.0,60.738,0.003,-0.089,61.06,1.91,761.30562,753.091500418
2024-01-06 21:00:00,0.0,58.941,0.003,-0.615,77.94,2.03,761.69613,753.0833247422
2024-01-06 22:00:00,0.0,55.395,0.003,-0.439,87.95,1.31,761.76837,753.3220694768
2024-01-06 23:00:00,0.0,56.43,0.003,-0.49,85.76,1.2,761.80209,753.5964421564
2024-01-07 00:00:00,0.0,55.327,0.003,-0.5,81.51,1.04,762.01748,753.79285339172
2024-01-07 01:00:00,0.0,56.028,0.003,-0.296,77.64,0.57,762.20554,753.77545945394
2024-01-07 02:00:00,0.0,55.813,0.003,-1.106,73.64,0.18,762.51388,754.1296612322
2024-01-07 03:00:00,0.0,53.877,0.003,-1.828,71.92,0.12,762.67529,754.32157209552
2024-01-07 04:00:00,0.0,52.032,0.003,-2.015,72.24,-0.1,762.71606,754.4186601208
2024-01-07 05:00:00,0.0,49.792,0.002,-2.175,77.23,-0.61,762.80364,754.5169182428
2024-01-07 06:00:00,0.0,46.903,0.002,-2.299,75.11,-0.95,763.13555,754.83114921708
2024-01-07 07:00:00,0.0,43.408,0.002,-2.381,61.94,-0.74,763.7197,755.42986370672
2024-01-07 08:00:00,13.596,40.707,0.002,-2.384,50.15,-1.18,764.64219,755.90148769108
2024-01-07 09:00:00,152.873,39.097,0.002,-1.635,41.53,-1.16,765.25287,756.4355768388
2024-01-07 10:00:00,284.409,35.514,0.002,-0.364,43.36,-0.4,765.42885,756.4854559618
2024-01-07 11:00:00,377.092,33.721,0.002,0.821,42.47,-0.18,765.26566,756.3352935494
2024-01-07 12:00:00,455.556,32.115,0.002,1.917,42.71,0.22,764.78285,756.0612583976999
2024-01-07 13:00:00,470.001,29.787,0.002,1.985,44.52,0.88,764.44759,755.86788491348
2024-01-07 14:00:00,430.996,29.723,0.002,1.65,45.65,0.82,764.31931,755.8718677427
2024-01-07 15:00:00,326.255,30.401,0.002,1.074,46.79,0.64,764.44862,755.918484096
2024-01-07 16:00:00,185.767,31.928,0.002,-0.51,49.16,0.03,764.69257,756.2075579908
2024-01-07 17:00:00,44.676,32.79,0.002,-2.306,51.81,-0.7,764.93328,756.4751051062001
2024-01-07 18:00:00,0.0,35.532,0.002,-3.812,50.76,-1.35,765.35823,756.870687805
2024-01-07 19:00:00,0.0,34.963,0.002,-4.037,50.36,-1.93,765.73204,757.0491275548
2024-01-07 20:00:00,0.0,34.488,0.001,-4.199,50.1,-2.41,765.93789,757.20869574468
2024-01-07 21:00:00,0.0,34.571,0.001,-4.335,48.69,-2.96,766.05171,757.3958437143
2024-01-07 22:00:00,0.0,32.405,0.001,-4.505,48.45,-3.4,765.98062,757.53446267252
2024-01-07 23:00:00,0.0,31.435,0.001,-4.691,56.36,-3.85,765.93217,757.5968603303
2024-01-08 00:00:00,0.0,31.887,0.001,-4.858,59.17,-4.45,766.02177,757.64904964426
2024-01-08 01:00:00,0.0,34.413,0.001,-4.809,65.05,-5.46,766.12428,758.1317670456
2024-01-08 02:00:00,0.0,35.227,0.002,-4.83,71.36,-6.25,766.3742,758.2351255892
2024-01-08 03:00:00,0.0,37.51,0.002,-4.886,71.69,-6.59,766.28771,758.23544811586
2024-01-08 04:00:00,0.0,37.745,0.002,-4.982,71.37,-6.8,766.16231,758.2069982642
2024-01-08 05:00:00,0.0,37.097,0.002,-5.093,74.05,-7.27,766.18466,758.2938554438
2024-01-08 06:00:00,0.0,36.794,0.002,-5.208,77.8,-7.74,766.45664,758.46902492328
2024-01-08 07:00:00,0.0,36.707,0.002,-4.653,80.5,-8.34,766.61624,758.646834621
2024-01-08 08:00:00,13.681,36.053,0.002,-4.027,79.63,-8.08,766.69092,758.7764453346
2024-01-08 09:00:00,173.114,33.199,0.001,-2.554,72.04,-6.36,766.8329,758.926982778
2024-01-08 10:00:00,323.675,30.218,0.001,-0.082,61.24,-4.49,766.66684,758.8005598279
2024-01-08 11:00:00,448.743,28.232,0.001,2.207,49.82,-3.41,766.01451,758.5408508604
2024-01-08 12:00:00,507.338,26.646,0.001,4.333,43.88,-2.47,765.33369,758.1631196372
2024-01-08 13:00:00,518.575,24.741,0.001,4.389,39.08,-1.63,764.52281,757.7043517155199
2024-01-08 14:00:00,459.805,23.575,0.001,4.053,30.12,-0.43,763.92373,757.26885071708
2024-01-08 15:00:00,325.979,25.194,0.002,3.368,33.27,0.72,763.58208,756.8390351886001
2024-01-08 16:00:00,186.649,26.77,0.002,1.23,33.52,1.07,763.57921,756.76315891668
2024-01-08 17:00:00,46.299,32.359,0.002,-1.188,36.17,0.83,763.85266,756.7253257894
2024-01-08 18:00:00,0.0,37.336,0.002,-3.148,40.75,-0.13,763.95393,756.7476401339001
2024-01-08 19:00:00,0.0,41.208,0.002,-3.292,47.83,-1.28,764.16741,756.73024619612
2024-01-08 20:00:00,0.0,46.764,0.002,-3.448,51.34,-1.95,764.02992,756.62169722348
2024-01-08 21:00:00,0.0,45.861,0.002,-3.529,61.75,-2.89,763.77633,756.5865643194
2024-01-08 22:00:00,0.0,46.806,0.002,-3.591,68.28,-4.03,763.46385,756.46110144866
2024-01-08 23:00:00,0.0,46.027,0.002,-3.535,71.19,-4.3,763.31346,756.3160919622001
2024-01-09 00:00:00,0.0,47.29,0.002,-3.516,68.19,-3.98,763.16385,756.0664338255
2024-01-09 01:00:00,0.0,44.531,0.002,-3.473,68.11,-3.39,762.80725,755.7692217580001
2024-01-09 02:00:00,0.0,46.423,0.002,-3.508,67.7,-3.08,762.38883,755.57498570248
2024-01-09 03:00:00,0.0,48.383,0.002,-3.471,68.15,-2.78,762.09645,755.2105005742001
2024-01-09 04:00:00,0.0,48.921,0.002,-2.824,67.14,-2.48,761.66041,754.8234685822
2024-01-09 05:00:00,0.0,53.618,0.002,-3.065,67.13,-2.27,761.37548,754.48111028292
2024-01-09 06:00:00,0.0,53.454,0.002,-2.912,66.38,-2.2,760.99781,754.31548159208
2024-01-09 07:00:00,0.0,55.038,0.002,-2.507,65.07,-1.96,760.84336,754.1112847132
2024-01-09 08:00:00,13.333,55.517,0.002,-1.921,64.2,-1.51,760.72212,753.9946500722
2024-01-09 09:00:00,113.621,52.88,0.002,-0.452,61.72,-0.87,760.7016,753.9410956454
2024-01-09 10:00:00,203.54,51.134,0.003,1.702,58.82,0.27,760.51186,753.7232026344001
2024-01-09 11:00:00,259.457,49.27,0.003,3.64,56.08,1.57,760.03487,753.27718576672
2024-01-09 12:00:00,298.554,49.087,0.003,4.996,55.23,2.29,759.30165,752.7075436802
2024-01-09 13:00:00,285.003,49.964,0.003,4.586,58.72,2.87,758.55112,752.1431970314001
2024-01-09 14:00:00,196.044,50.872,0.004,3.942,60.23,3.42,757.88851,751.68165388032
2024-01-09 15:00:00,126.824,51.668,0.004,3.164,62.66,3.96,757.90956,751.29934727892
2024-01-09 16:00:00,72.528,54.233,0.004,2.411,70.86,2.98,758.04496,751.2632992992
2024-01-09 17:00:00,18.822,57.775,0.004,1.517,82.83,1.92,758.2065,751.205469519
2024-01-09 18:00:00,0.0,61.127,0.004,0.808,88.37,1.44,758.44223,751.2200582249
2024-01-09 19:00:00,0.0,60.474,0.004,0.838,90.68,1.22,758.61969,751.2420725446
2024-01-09 20:00:00,0.0,62.404,0.004,0.815,92.16,0.9,758.67062,751.04567631052
2024-01-09 21:00:00,0.0,62.485,0.004,0.805,94.17,0.85,758.845,751.0113534734
2024-01-09 22:00:00,0.0,62.54,0.004,0.698,94.69,0.81,758.855,750.9178957482001
2024-01-09 23:00:00,0.0,62.234,0.004,0.631,94.85,0.85,758.79254,750.8539154596
2024-01-10 00:00:00,0.0,61.846,0.004,0.569,95.84,0.82,758.69721,750.70498314888
2024-01-10 01:00:00,0.0,61.297,0.004,-0.003,95.02,0.9,758.7362,750.3763509842
2024-01-10 02:00:00,0.0,60.707,0.004,-0.035,90.26,1.0,758.98856,750.4462567626
2024-01-10 03:00:00,0.0,59.838,0.004,-0.097,85.58,1.06,758.97243,750.392777342
2024-01-10 04:00:00,0.0,58.926,0.004,-0.39,81.26,0.76,759.18348,750.4020031046
2024-01-10 05:00:00,0.0,56.986,0.003,-0.731,79.02,0.3,759.44066,750.57954278
2024-01-10 06:00:00,0.0,55.865,0.003,-1.069,82.85,-0.46,759.58002,750.9076198988
2024-01-10 07:00:00,0.0,54.528,0.003,-0.916,86.55,-1.2,759.82796,751.2476605065
2024-01-10 08:00:00,12.111,54.29,0.003,-0.783,87.09,-1.18,760.19209,751.5697746324
2024-01-10 09:00:00,82.39,53.245,0.003,-0.436,87.66,-0.85,760.58846,752.0147114108
2024-01-10 10:00:00,189.268,51.89,0.003,0.95,77.14,-0.24,760.99537,752.2599066786
2024-01-10 11:00:00,286.893,50.359,0.003,2.539,75.66,-0.03,760.81435,752.2965847104
2024-01-10 12:00:00,382.02,49.014,0.003,4.332,76.26,0.0,760.51694,752.1720744184
2024-01-10 13:00:00,403.111,48.125,0.003,4.784,77.52,0.22,760.49454,752.1124894931199
2024-01-10 14:00:00,379.182,47.597,0.003,4.717,77.01,0.14,760.41293,752.23623472188
2024-01-10 15:00:00,290.433,46.899,0.003,4.416,76.59,0.29,760.57441,752.341813449
2024-01-10 16:00:00,154.421,46.807,0.003,2.506,76.91,0.36,760.65059,752.63086484194
2024-01-10 17:00:00,43.047,47.711,0.003,0.379,77.35,0.14,760.93064,752.8838457533
2024-01-10 18:00:00,0.0,49.726,0.003,-1.649,76.69,-0.08,761.33988,753.08440483148
2024-01-10 19:00:00,0.0,49.725,0.003,-2.171,79.06,-0.27,761.60135,753.1767824674
2024-01-10 20:00:00,0.0,49.966,0.003,-2.496,82.98,-0.88,761.62327,753.3190692288
2024-01-10 21:00:00,0.0,49.839,0.003,-2.775,86.95,-1.68,761.44839,753.4681065482
2024-01-10 22:00:00,0.0,50.161,0.003,-2.732,88.59,-2.59,761.28581,753.5988798579
2024-01-10 23:00:00,0.0,50.774,0.003,-2.859,89.93,-2.94,761.15724,753.68407940048
2024-01-11 00:00:00,0.0,50.868,0.003,-2.847,89.64,-3.42,761.08317,753.5848912016
2024-01-11 01:00:00,0.0,50.719,0.003,-3.294,90.32,-3.72,761.23605,753.5326418826801
2024-01-11 02:00:00,0.0,50.788,0.003,-3.249,89.93,-3.74,761.44187,753.6481964344
2024-01-11 03:00:00,0.0,50.782,0.003,-3.264,90.67,-3.72,761.27286,753.4870831168
2024-01-11 04:00:00,0.0,51.291,0.003,-3.352,90.6,-3.82,760.87558,753.2402377126
2024-01-11 05:00:00,0.0,51.634,0.003,-3.345,89.63,-3.53,760.74744,753.08156959712
2024-01-11 06:00:00,0.0,51.674,0.003,-3.406,90.04,-3.0,760.87866,753.08802013032
2024-01-11 07:00:00,0.0,52.288,0.003,-2.887,89.93,-2.75,761.04912,753.2396376629999
2024-01-11 08:00:00,14.128,52.124,0.003,-2.21,89.08,-2.57,760.69853,753.29421967474
2024-01-11 09:00:00,132.361,50.031,0.003,-0.521,87.03,-1.87,760.68592,753.2607519083
2024-01-11 10:00:00,281.517,46.395,0.003,1.905,85.32,-0.87,760.40813,752.9787660994
2024-01-11 11:00:00,378.835,45.353,0.003,4.012,79.16,0.44,759.70949,752.52433353608
2024-01-11 12:00:00,432.506,41.321,0.003,5.836,77.07,1.76,759.07293,751.888776001
2024-01-11 13:00:00,426.11,40.992,0.003,5.666,67.25,3.58,758.46922,751.3638826133999
2024-01-11 14:00:00,352.404,41.812,0.003,5.639,64.72,4.19,757.93488,750.9856638499
2024-01-11 15:00:00,260.23,40.226,0.003,5.437,64.34,4.55,757.75535,750.6233464008
2024-01-11 16:00:00,148.235,41.937,0.003,3.788,64.95,4.69,757.62588,750.546165021
2024-01-11 17:00:00,34.814,46.606,0.004,2.088,67.58,4.53,757.50365,750.536039184
2024-01-11 18:00:00,0.0,50.597,0.004,0.494,69.16,4.52,757.54053,750.50675676352
2024-01-11 19:00:00,0.0,52.95,0.004,0.845,70.06,4.7,757.42554,750.28682358388
2024-01-11 20:00:00,0.0,54.329,0.004,1.101,69.13,4.71,757.34631,750.0051453004
2024-01-11 21:00:00,0.0,55.252,0.004,1.375,69.11,4.59,757.21283,749.8519076338
2024-01-11 22:00:00,0.0,56.125,0.004,1.766,69.3,4.61,757.13063,749.8522076585999
2024-01-11 23:00:00,0.0,58.343,0.004,1.797,69.78,4.94,757.17423,749.9693673429999
2024-01-12 00:00:00,0.0,60.058,0.004,1.966,73.02,4.2,757.35013,750.1637084071999
2024-01-12 01:00:00,0.0,62.428,0.004,0.892,77.65,3.3,757.64077,750.0738134765
2024-01-12 02:00:00,0.0,62.393,0.004,1.027,81.11,2.83,757.81296,750.3634499177999
2024-01-12 03:00:00,0.0,62.183,0.004,0.588,84.06,2.36,757.77153,750.43955120832
2024-01-12 04:00:00,0.0,59.736,0.004,-0.004,84.25,2.07,757.87451,750.5000737111001
2024-01-12 05:00:00,0.0,58.597,0.004,-1.041,87.37,1.53,758.14207,750.6405228206
2024-01-12 06:00:00,0.0,56.095,0.003,-1.683,88.93,1.46,758.28244,750.97087262726
2024-01-12 07:00:00,0.0,53.935,0.003,-1.555,89.8,0.98,758.60738,751.35798712608
2024-01-12 08:00:00,14.424,51.416,0.003,-1.111,91.26,0.7,758.87368,751.7108612946
2024-01-12 09:00:00,134.342,45.402,0.003,0.458,88.31,1.64,759.26,752.0877674495999
2024-01-12 10:00:00,288.644,34.336,0.003,2.4,77.4,3.46,759.41459,752.15396792172
2024-01-12 11:00:00,433.126,28.13,0.002,4.247,52.23,5.66,759.04816,752.1323586355
2024-01-12 12:00:00,507.63,26.115,0.002,5.756,34.67,6.68,758.85111,752.0153864666
